Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 25 2016,8:00 pm,New York Knicks,,Cleveland Cavaliers,,,,
Tue Oct 25 2016,10:30 pm,San Antonio Spurs,,Golden State Warriors,,,,
Tue Oct 25 2016,10:00 pm,Utah Jazz,,Portland Trail Blazers,,,,
Wed Oct 26 2016,7:30 pm,Brooklyn Nets,,Boston Celtics,,,,
Wed Oct 26 2016,7:00 pm,Dallas Mavericks,,Indiana Pacers,,,,
Wed Oct 26 2016,10:30 pm,Houston Rockets,,Los Angeles Lakers,,,,
Wed Oct 26 2016,8:00 pm,Minnesota Timberwolves,,Memphis Grizzlies,,,,
Wed Oct 26 2016,8:00 pm,Charlotte Hornets,,Milwaukee Bucks,,,,
Wed Oct 26 2016,8:00 pm,Denver Nuggets,,New Orleans Pelicans,,,,
Wed Oct 26 2016,7:00 pm,Miami Heat,,Orlando Magic,,,,
Wed Oct 26 2016,8:00 pm,Oklahoma City Thunder,,Philadelphia 76ers,,,,
Wed Oct 26 2016,10:00 pm,Sacramento Kings,,Phoenix Suns,,,,
Wed Oct 26 2016,7:30 pm,Detroit Pistons,,Toronto Raptors,,,,
Thu Oct 27 2016,7:30 pm,Washington Wizards,,Atlanta Hawks,,,,
Thu Oct 27 2016,8:00 pm,Boston Celtics,,Chicago Bulls,,,,
Thu Oct 27 2016,10:30 pm,Los Angeles Clippers,,Portland Trail Blazers,,,,
Thu Oct 27 2016,10:30 pm,San Antonio Spurs,,Sacramento Kings,,,,
Fri Oct 28 2016,7:30 pm,Indiana Pacers,,Brooklyn Nets,,,,
Fri Oct 28 2016,8:30 pm,Houston Rockets,,Dallas Mavericks,,,,
Fri Oct 28 2016,7:30 pm,Orlando Magic,,Detroit Pistons,,,,
Fri Oct 28 2016,8:00 pm,Charlotte Hornets,,Miami Heat,,,,
Fri Oct 28 2016,9:30 pm,Golden State Warriors,,New Orleans Pelicans,,,,
Fri Oct 28 2016,8:00 pm,Phoenix Suns,,Oklahoma City Thunder,,,,
Fri Oct 28 2016,7:00 pm,Cleveland Cavaliers,,Toronto Raptors,,,,
Fri Oct 28 2016,9:00 pm,Los Angeles Lakers,,Utah Jazz,,,,
Sat Oct 29 2016,8:00 pm,Indiana Pacers,,Chicago Bulls,,,,
Sat Oct 29 2016,7:00 pm,Boston Celtics,,Charlotte Hornets,,,,
Sat Oct 29 2016,7:30 pm,Orlando Magic,,Cleveland Cavaliers,,,,
Sat Oct 29 2016,9:00 pm,Portland Trail Blazers,,Denver Nuggets,,,,
Sat Oct 29 2016,8:00 pm,Brooklyn Nets,,Milwaukee Bucks,,,,
Sat Oct 29 2016,7:30 pm,Memphis Grizzlies,,New York Knicks,,,,
Sat Oct 29 2016,1:00 pm,Atlanta Hawks,,Philadelphia 76ers,,,,
Sat Oct 29 2016,10:30 pm,Minnesota Timberwolves,,Sacramento Kings,,,,
Sat Oct 29 2016,8:00 pm,New Orleans Pelicans,,San Antonio Spurs,,,,
Sun Oct 30 2016,6:00 pm,Milwaukee Bucks,,Detroit Pistons,,,,
Sun Oct 30 2016,8:00 pm,Dallas Mavericks,,Houston Rockets,,,,
Sun Oct 30 2016,4:30 pm,Utah Jazz,,Los Angeles Clippers,,,,
Sun Oct 30 2016,7:00 pm,Washington Wizards,,Memphis Grizzlies,,,,
Sun Oct 30 2016,6:00 pm,San Antonio Spurs,,Miami Heat,,,,
Sun Oct 30 2016,7:00 pm,Los Angeles Lakers,,Oklahoma City Thunder,,,,
Sun Oct 30 2016,6:00 pm,Golden State Warriors,,Phoenix Suns,,,,
